 counting stars;	campanile;	banana smoothie;	afternoon nap;	a good fit;	airport terminal;	archery;	absolute magnitude;	#VALUE!
 timber;	sather gate;	basil leaves;	afternoon teatime;	a little slice of paradise;	antique mall;	a lovely gesture;	absolute zero;	
 let her go;	golden bear cafe;	bean sprout salad;	armed forces day;	access granted;	a faraway land;	beam of light;	accretion;	
 dark horse;	crossroads;	bowl of popcorn;	all-expenses paid vacation;	a change of heart;	busy seaport city;	bluegrass music;	accretion disk;	
 team;	cafe 3;	peanutbutter & jelly;	bachelor party;	bury the hatchet;	castle district;	checkered flag;	albedo;	
 pompeii;	squirrels;	bran cereal;	beach party;	daily grind;	cave dwelling;	classical music;	altitude;	
 talk dirty;	midterms;	breakfast buffet;	beautiful sunrise;	davey jones' locker;	childhood home;	college scholarship;	antimatter;	
 drunk in love;	frat row;	cheese puffs;	centennial celebration;	did you miss me?;	city of romance;	cosmopolitan atmosphere;	aperture;	
 happy;	unit 1;	chewy caramels;	cooking class;	don't be to sure about that;	coffee plantation;	crocheted sweater;	aphelion;	
 all of me;	protest;	chicken tostada;	clearance sale;	free as a bird;	famous restaurant;	elaborate prank;	apogee;	
 let it go;	dead week;	chilled eggnog;	date night;	fun for the whole family;	farmhouse;	erupting volcano;	apparent magnitude;	
 we might be dead by tomorrow;	free speech café;	chocolate cake;	fashion show;	going dutch;	home improvement store;	exquisite taste;	asteroid;	
 the man;	moffit;	chopped hazelnuts;	food festival;	hand over fist;	irish pub;	free in-home consultation;	astronomical unit;	
 turn down for what;	main stacks;	crunchy pretzels;	grand finale;	have your people call my people;	italian bistro;	gift catalog;	aurora borealis;	
 not a bad thing;	pappy’s;	delicious pastries;	halftime show;	having a green thumb;	junkyard;	going out of business sale;	azimuth;	
 loyal;	cheeseboard;	ear of corn;	long weekend;	hitting stores now;	local bookstore;	handwoven basket;	binary system;	
 fancy;	jupiter’s;	gala apples;	momentous occasion;	in the groove;	master bedroom;	hoarse voice;	black hole;	
 problem ;	terrace café;	grilled scallops;	music festival;	it stands to reason;	mountain farm;	home décor;	blueshift;	
